cluster_name	safe_cluster_id	representative_id	ko	trusted_hit	score	evalue	threshold	kofamscan_definition	ko_definition	module_ids	module_names	pathway_ids	pathway_names	brite_A_id	brite_A_name	brite_B_id	brite_B_name	brite_C_id	brite_C_name	brite_ko_entry	pfam_target_name	pfam_accession	pfam_full_evalue	pfam_full_score	pfam_domain_i_evalue	pfam_domain_score	pfam_description	HAY1-4A	KNZ1-1G	KNZ1-1H	KNZ1-4G	KNZ1-6H	KNZ1-9H	KNZ12-10F	KNZ12-12B	KNZ12-1A	KNZ12-1B	KNZ12-6F	KNZ12-7H	KNZ13-10G	KNZ13-1A	KNZ13-6D	KNZ14-11B	KNZ14-9G	KNZ2-12A	KNZ2-1B	KNZ2-1C	KNZ2-3D	KNZ2-4C	KNZ2-5A	KNZ2-5C	KNZ2-5D	KNZ2-6B	KNZ2-6D	KNZ2-7A	KNZ2-8B	KNZ2-8D	KNZ2-9B	SVR3-12F	SVR3-5F	SVR3-6C	SVR3-7D	SVR3-7F	SVR3-8D	SVR3-8G	SVR3-9D	SVR3-9F	SVR3-9G	SVR3-9H	SVR4-10G	SVR4-12F	SVR4-1A	SVR4-1E	SVR4-7E	SVR4-9A	SVR4-9G	SVR5-10A	SVR5-11B	SVR5-12D	SVR5-12G	SVR5-1A	SVR5-1B	SVR5-1H	SVR5-2B	SVR5-3A	SVR5-3C	SVR5-3E	SVR5-4F	SVR5-5G	SVR5-9B	SVR6-10C	SVR6-10D	SVR6-11A	SVR6-11D	SVR6-7A	SVR6-8A	SVR6-9D	TLI6-10H	TLI6-11F	TLI6-1G	TLI6-3F	TLI6-4A	TLI6-5F	TLI6-5H	TLI6-8H	TLI6-IE	TLI7-5F	TLI7-6A	TLI7-7B	TLI7-7G	TLI8-10B	TLI8-4H	TLI8-6C	TLI8-7A	TLI8-8A	TLI8-8F	TLI8-9D	TLI8-9H	TLI9-11B	TLI9-11C	TLI9-12B	TLI9-1C	TLI9-3A
flaA1	cluster_000320	HAY14A_14885	K24300	yes	712.3	4.90E-214	708.83	"UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]"	"wbpM, wbgZ, aatA; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]"	M01009; M01032; M01033; M01037	"M01009: UDP-QuiNAc biosynthesis, UDP-GlcNAc => UDP-QuiNAc; M01032: UDP-D-FucNAc biosynthesis, UDP-GlcNAc => UDP-D-FucNAc; M01033: UDP-yelosamine biosynthesis, UDP-GlcNAc => UDP-yelosamine; M01037: UDP-D-FucNAc4N biosynthesis, UDP-GlcNAc => UDP-D-FucNAc4N"	map00541; ko00541; map00552; ko00552; map01100; ko01100; map01250; ko01250	map00541: Biosynthesis of various nucleotide sugars; ko00541; map00552: Teichoic acid biosynthesis; ko00552; map01100: Metabolic pathways; ko01100; map01250: Biosynthesis of nucleotide sugars; ko01250	9100	Metabolism	9107	Glycan biosynthesis and metabolism	ko00552	Teichoic acid biosynthesis	"wbpM, wbgZ, aatA; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]"	Polysacc_synt_2	PF02719.22	5.60E-110	367.7	7.20E-110	367.3	Polysaccharide biosynthesis protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ihfB	cluster_000256	HAY14A_14905	K05788	yes	161.6	1.70E-47	126.83	integration host factor subunit beta	"ihfB, himD; integration host factor subunit beta"					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	"ihfB, himD; integration host factor subunit beta"	Bac_DNA_binding	PF00216.27	2.90E-30	104.9	3.20E-30	104.8	Bacterial DNA-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dcd	cluster_000056	HAY14A_15275	K01494	yes	212.4	4.90E-63	80.87	dCTP deaminase [EC:3.5.4.13]	dcd; dCTP deaminase [EC:3.5.4.13]			map00240; ko00240; map01100; ko01100; map01232; ko01232	map00240: Pyrimidine metabolism; ko00240; map01100: Metabolic pathways; ko01100; map01232: Nucleotide metabolism; ko01232	9100	Metabolism	9104	Nucleotide metabolism	ko00240	Pyrimidine metabolism	dcd; dCTP deaminase [EC:3.5.4.13]	DCD	PF22769.2	1.70E-32	113.3	2.00E-32	113.1	dCTP deaminase-like	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1054	cluster_000002	HAY14A_15535	K19622	no	54.7	5.80E-15	333.7	"two-component system, response regulator PhcR"	"phcR; two-component system, response regulator PhcR"			map02020; ko02020	map02020: Two-component system; ko02020	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2022	Two-component system [BR:ko02022]	"phcR; two-component system, response regulator PhcR"	Response_reg	PF00072.31	2.60E-10	41.1	1.30E-07	32.3	Response regulator receiver domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cspC	cluster_000367	HAY14A_15555	K03704	yes	127.4	3.70E-37	82.87	cold shock protein	cspA; cold shock protein					9190	Not Included in Pathway or Brite	9192	Unclassified: genetic information processing	99973	Transcription	cspA; cold shock protein	CSD	PF00313.29	5.50E-32	110	5.90E-32	109.9	'Cold-shock' DNA-binding domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rplS	cluster_000247	KNZ11G_11960	K02884	yes	167.6	2.80E-49	22.7	large subunit ribosomal protein L19	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"			map03010; ko03010	map03010: Ribosome; ko03010	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3011	Ribosome [BR:ko03011]	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"	Ribosomal_L19	PF01245.27	2.90E-46	156.6	3.80E-46	156.2	Ribosomal protein L19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tdh	cluster_000443	KNZ11G_11615	K00060	yes	586.4	2.80E-176	345.97	threonine 3-dehydrogenase [EC:1.1.1.103]	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]			map00260; ko00260; map01100; ko01100	"map00260: Glycine, serine and threonine metabolism; ko00260; map01100: Metabolic pathways; ko01100"	9100	Metabolism	9105	Amino acid metabolism	ko00260	"Glycine, serine and threonine metabolism"	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	ADH_N	PF08240.18	9.60E-33	113.1	2.00E-32	112.1	Alcohol dehydrogenase GroES-like domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rpsF	cluster_000161	HAY14A_15840	K02990	yes	122	1.60E-35	22.97	small subunit ribosomal protein S6	"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"			map03010; ko03010	map03010: Ribosome; ko03010	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3011	Ribosome [BR:ko03011]	"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"	Ribosomal_S6	PF01250.23	1.10E-29	103	1.60E-29	102.5	Ribosomal protein S6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ftsI	cluster_000118	HAY14A_15960	K03587	yes	685.8	3.60E-206	454.53	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]			map00550; ko00550; map01100; ko01100; map01501; ko01501	map00550: Peptidoglycan biosynthesis; ko00550; map01100: Metabolic pathways; ko01100; map01501: beta-Lactam resistance; ko01501	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3036	Chromosome and associated proteins [BR:ko03036]	ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	Transpeptidase	PF00905.28	5.50E-75	252.9	6.80E-75	252.6	Penicillin binding protein transpeptidase domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
oVP1	cluster_000179	HAY14A_16065	K15987	yes	1040.2	0	876	K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]	hppA; K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	hppA; K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]	H_PPase	PF03030.22	1.00E-270	900.6	1.20E-270	900.4	Inorganic H+ pyrophosphatase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1068	cluster_000092	HAY14A_16095	K18301	yes	234.6	1.20E-69	175.9	"TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor"	"mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor"	M00642	"M00642: Multidrug resistance, efflux pump MexJK-OprM"			9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	1504	Antimicrobial resistance genes [BR:ko01504]	"mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor"	TetR_C_7	PF14246.12	7.00E-23	81.5	1.10E-22	80.9	"AefR-like transcriptional repressor, C-terminal domain"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_107	cluster_000147	HAY14A_03350	K23980	no	170.5	3.60E-50	464.17	cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]	tpdA; cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]					9180	Brite Hierarchies	9181	Protein families: metabolism	1002	Peptidases and inhibitors [BR:ko01002]	tpdA; cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]	Peptidase_M20	PF01546.34	1.40E-19	71.5	1.80E-19	71.1	Peptidase family M20/M25/M40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
spoT	cluster_000257	HAY14A_16175	K01139	yes	886.2	1.30E-266	799.13	"GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"	"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"			map00230; ko00230; map01100; ko01100	map00230: Purine metabolism; ko00230; map01100: Metabolic pathways; ko01100	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3009	Ribosome biogenesis [BR:ko03009]	"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"	HD_4	PF13328.13	8.50E-50	169.1	8.50E-50	169.1	HD domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rpoZ	cluster_000085	HAY14A_16180	K03060	yes	105.6	2.60E-30	23.37	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]			map03020; ko03020	map03020: RNA polymerase; ko03020	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	RNA_pol_Rpb6	PF01192.28	8.90E-21	74.3	1.00E-20	74.1	RNA polymerase Rpb6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
zapA	cluster_000213	HAY14A_16330	K09888	yes	66.7	1.60E-18	19.2	cell division protein ZapA	zapA; cell division protein ZapA					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3036	Chromosome and associated proteins [BR:ko03036]	zapA; cell division protein ZapA	ZapA	PF05164.19	5.10E-20	72.2	5.90E-20	71.9	Cell division protein ZapA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cyoE	cluster_000189	HAY14A_16545	K02257	yes	383.2	2.20E-114	122.37	heme o synthase [EC:2.5.1.141]	"COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"	M00154	M00154: Cytochrome c oxidase	map00190; ko00190; map00860; ko00860; map01100; ko01100; map01110; ko01110; map01240; ko01240; map04714; ko04714	map00190: Oxidative phosphorylation; ko00190; map00860: Porphyrin metabolism; ko00860; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01240: Biosynthesis of cofactors; ko01240; map04714: Thermogenesis; ko04714	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3029	Mitochondrial biogenesis [BR:ko03029]	"COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"	UbiA	PF01040.24	4.70E-62	210.1	5.90E-62	209.8	UbiA prenyltransferase family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DUF2909 domain-containing protein	cluster_000249	HAY14A_16565	K28370	no	20.3	0.00017	145.53	lysine exporter	lysO; lysine exporter					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	lysO; lysine exporter	DUF2909	PF11137.14	2.40E-22	79.2	2.70E-22	79	Protein of unknown function (DUF2909)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N-acetylmuramoyl-L-alanine amidase	cluster_000408	HAY14A_03455	K11066	no	94.6	5.40E-27	174.93	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]					9180	Brite Hierarchies	9181	Protein families: metabolism	1011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	Amidase_2	PF01510.31	1.00E-24	87.9	1.40E-24	87.5	N-acetylmuramoyl-L-alanine amidase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rpsI	cluster_000230	HAY14A_16800	K02996	yes	207.3	3.00E-61	101.2	small subunit ribosomal protein S9	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"			map03010; ko03010	map03010: Ribosome; ko03010	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3011	Ribosome [BR:ko03011]	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"	Ribosomal_S9	PF00380.26	1.40E-50	171.4	1.50E-50	171.2	Ribosomal protein S9/S16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rplM	cluster_000182	HAY14A_16805	K02871	yes	231.5	1.10E-68	68.23	large subunit ribosomal protein L13	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"			map03010; ko03010	map03010: Ribosome; ko03010	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3011	Ribosome [BR:ko03011]	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"	Ribosomal_L13	PF00572.25	8.00E-46	155.6	9.30E-46	155.4	Ribosomal protein L13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pabA	cluster_000226	HAY14A_16855	K01664	yes	351.1	4.50E-105	326.23	para-aminobenzoate synthetase component II [EC:2.6.1.85]	pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]			map00790; ko00790; map01240; ko01240	map00790: Folate biosynthesis; ko00790; map01240: Biosynthesis of cofactors; ko01240	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00790	Folate biosynthesis	pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]	GATase	PF00117.35	2.60E-61	207.2	3.00E-61	207	Glutamine amidotransferase class-I	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aceE	cluster_000472	HAY14A_16955	K00163	yes	1462.7	0	327.87	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	M00307	"M00307: Pyruvate oxidation, pyruvate => acetyl-CoA"	map00010; ko00010; map00020; ko00020; map00620; ko00620; map00785; ko00785; map01100; ko01100; map01110; ko01110; map01120; ko01120; map01200; ko01200; map01210; ko01210	map00010: Glycolysis / Gluconeogenesis; ko00010; map00020: Citrate cycle (TCA cycle); ko00020; map00620: Pyruvate metabolism; ko00620; map00785: Lipoic acid metabolism; ko00785; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110; map01120: Microbial metabolism in diverse environments; ko01120; map01200: Carbon metabolism; ko01200; map01210: 2-Oxocarboxylic acid metabolism; ko01210	9100	Metabolism	9108	Metabolism of cofactors and vitamins	ko00785	Lipoic acid metabolism	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	PDH_E1_M	PF17831.6	2.00E-105	351.7	3.30E-105	351.1	Pyruvate dehydrogenase E1 component middle domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_109	cluster_000243	HAY14A_03515	K12251	yes	445.5	1.30E-133	341.67	N-carbamoylputrescine amidase [EC:3.5.1.53]	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]			map00330; ko00330; map01100; ko01100; map01110; ko01110	map00330: Arginine and proline metabolism; ko00330; map01100: Metabolic pathways; ko01100; map01110: Biosynthesis of secondary metabolites; ko01110	9100	Metabolism	9105	Amino acid metabolism	ko00330	Arginine and proline metabolism	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]	CN_hydrolase	PF00795.28	1.20E-57	195.8	1.30E-57	195.7	Carbon-nitrogen hydrolase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gspE	cluster_000314	HAY14A_17070	K02454	yes	742.3	3.30E-223	641.13	general secretion pathway protein E [EC:7.4.2.8]	gspE; general secretion pathway protein E [EC:7.4.2.8]			map03070; ko03070; map05111; ko05111	map03070: Bacterial secretion system; ko03070; map05111: Biofilm formation - Vibrio cholerae; ko05111	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2044	Secretion system [BR:ko02044]	gspE; general secretion pathway protein E [EC:7.4.2.8]	T2SSE	PF00437.27	6.70E-146	486.3	8.40E-146	485.9	Type II/IV secretion system protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glyQ	cluster_000117	HAY14A_17110	K01878	yes	612	6.90E-184	501.97	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]			map00970; ko00970	map00970: Aminoacyl-tRNA biosynthesis; ko00970	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3016	Transfer RNA biogenesis [BR:ko03016]	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	tRNA-synt_2e	PF02091.21	2.70E-148	493.3	3.10E-148	493.1	Glycyl-tRNA synthetase alpha subunit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glnK	cluster_000402	HAY14A_17375	K04752	yes	224	4.90E-67	202.17	nitrogen regulatory protein P-II 2	glnK; nitrogen regulatory protein P-II 2					9190	Not Included in Pathway or Brite	9192	Unclassified: genetic information processing	99973	Transcription	glnK; nitrogen regulatory protein P-II 2	P-II	PF00543.28	6.70E-35	120.1	7.50E-35	119.9	Nitrogen regulatory protein P-II	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
traB	cluster_000451	KNZ11G_06415	K09973	no	23	2.80E-05	163.23	uncharacterized protein	K09973; uncharacterized protein					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99997	Function unknown	K09973; uncharacterized protein	TraB_PrgY_gumN	PF01963.23	5.00E-25	89.4	7.60E-25	88.8	TraB/PrgY/gumN family	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
